,sample_id,As,Ba,Ca,Cu,Fe,K,Mn,Mo,P,Pb,Rb,Sr,Ti,U,V,Zn,Nb,Y,La,Nd,comments
80,GR1-024,14.600000000000001,489.0,7300.0,13.4,31200.0,12010.0,860.0,1.24,990.0,41.7,61.1,305.0,3510.0,2.4000000000000004,51.400000000000006,84.0,14.200000000000001,5.2,10.0,23.400000000000002,
81,TE2-042,27.700000000000003,451.0,24500.0,20.700000000000003,56800.0,5780.0,2170.0,1.24,1680.0,90.60000000000001,33.4,1517.0,7990.0,5.300000000000001,189.60000000000002,182.70000000000002,74.8,52.1,64.0,22.1,
82,GR1-018,28.900000000000002,173.0,10900.0,27.900000000000002,49900.0,5560.0,3570.0,5.79,1210.0,95.80000000000001,71.4,310.0,4950.0,9.4,161.0,427.5,146.9,39.5,99.0,14.5,
83,TE2-045,24.1,556.0,24600.0,21.1,87300.0,8050.0,1520.0,1.24,3500.0,60.300000000000004,38.2,1127.0,16450.0,6.4,280.1,182.70000000000002,99.7,34.4,73.0,21.900000000000002,
84,GR1-022,23.5,576.0,17100.0,29.900000000000002,48000.0,8350.0,4360.0,6.62,1060.0,90.9,90.5,752.0,5770.0,13.3,205.5,234.20000000000002,184.5,58.6,68.0,14.200000000000001,
85,TE2-048,11.100000000000001,366.0,10600.0,18.6,38500.0,6700.0,370.0,2.77,1120.0,57.2,51.900000000000006,506.0,5770.0,8.1,84.7,75.9,34.800000000000004,20.900000000000002,30.0,20.6,
86,TE2-031,18.2,446.0,9700.0,12.0,31700.0,9040.0,380.0,1.24,1230.0,75.0,55.400000000000006,380.0,5020.0,2.4000000000000004,78.4,60.6,34.0,17.7,10.0,21.3,
87,TE2-026,9.9,518.0,14300.0,36.300000000000004,35400.0,16020.0,1570.0,1.24,930.0,40.0,80.0,477.0,3870.0,2.4000000000000004,126.0,121.4,72.4,41.5,83.0,18.3,
88,TE2-025,14.600000000000001,404.0,8100.0,14.4,38500.0,9860.0,950.0,4.23,1060.0,61.400000000000006,60.1,395.0,3980.0,6.9,94.2,113.7,36.2,32.0,44.0,20.0,
89,GR1-030,26.5,446.0,14000.0,29.0,40800.0,9970.0,1420.0,2.32,810.0,117.9,77.4,610.0,4080.0,9.200000000000001,113.30000000000001,224.60000000000002,88.4,31.400000000000002,54.0,20.0,
90,GR1-040F,13.4,362.0,37700.0,19.8,59000.0,1390.0,1110.0,1.24,3220.0,29.3,14.4,2239.0,12070.0,6.5,205.5,131.5,78.7,65.3,108.0,18.5,
91,TE2-013,19.400000000000002,161.0,24200.0,26.400000000000002,86500.0,3310.0,1390.0,5.89,1620.0,48.400000000000006,32.7,498.0,10530.0,5.9,234.10000000000002,312.6,64.60000000000001,27.900000000000002,62.0,15.4,
93,TE2-030,9.9,443.0,10000.0,13.4,38700.0,9380.0,520.0,1.24,1330.0,35.7,58.800000000000004,413.0,4680.0,2.4000000000000004,76.80000000000001,74.10000000000001,31.700000000000003,16.5,50.0,18.900000000000002,
94,GR1-050F,9.9,569.0,11500.0,18.7,19600.0,8180.0,410.0,1.24,970.0,88.30000000000001,49.5,430.0,2990.0,3.9000000000000004,52.1,69.2,16.2,5.2,32.0,18.3,
95,GR1-020F,14.600000000000001,350.0,5500.0,6.800000000000001,30800.0,6250.0,180.0,19.63,320.0,49.5,36.9,266.0,3680.0,9.1,41.800000000000004,52.300000000000004,27.700000000000003,13.600000000000001,47.0,12.8,
96,TE2-015,46.7,343.0,14800.0,24.8,47700.0,5070.0,1740.0,1.24,700.0,149.0,72.7,1060.0,3710.0,24.3,119.7,269.90000000000003,200.60000000000002,58.300000000000004,82.0,19.6,
97,TE2-019,34.800000000000004,276.0,18700.0,51.2,35700.0,4120.0,2240.0,15.88,1080.0,92.80000000000001,56.800000000000004,560.0,2960.0,19.3,86.30000000000001,230.4,65.3,64.8,78.0,22.900000000000002,
98,GR1-040,22.900000000000002,338.0,36400.0,13.4,59000.0,1390.0,1070.0,1.24,3410.0,48.0,15.100000000000001,1953.0,12810.0,2.4000000000000004,237.20000000000002,140.70000000000002,77.10000000000001,58.6,89.0,21.900000000000002,
99,GR1-001,24.700000000000003,674.0,8000.0,28.6,48600.0,7300.0,12840.0,7.4,880.0,111.2,69.8,413.0,4710.0,7.300000000000001,165.70000000000002,290.0,44.6,32.5,57.0,24.3,
103,GR1-002,22.900000000000002,581.0,22900.0,16.6,91800.0,12670.0,3340.0,4.64,1510.0,62.1,142.3,1129.0,10690.0,5.6000000000000005,210.20000000000002,327.70000000000005,126.5,57.300000000000004,105.0,22.3,
107,GR1-012,9.9,497.0,9700.0,357.1,36600.0,12610.0,600.0,4.8500000000000005,1040.0,26.5,69.4,335.0,3690.0,4.2,91.9,139.0,21.5,47.900000000000006,84.0,21.400000000000002,
108,TE2-032,12.200000000000001,300.0,17500.0,17.900000000000002,91400.0,5950.0,480.0,4.33,2320.0,26.3,30.400000000000002,355.0,11360.0,2.4000000000000004,192.8,98.0,43.800000000000004,25.1,46.0,18.3,
109,TE2-041,25.3,203.0,5900.0,16.1,31500.0,1390.0,2450.0,3.5,1410.0,96.5,52.2,508.0,3140.0,16.1,40.2,93.30000000000001,56.7,28.400000000000002,52.0,18.1,
110,GR1-042,28.3,420.0,20500.0,49.5,39000.0,3210.0,650.0,1.24,1270.0,126.10000000000001,23.1,1864.0,14730.0,10.0,197.5,107.4,97.0,28.200000000000003,45.0,18.1,
111,GR1-044,28.900000000000002,389.0,22000.0,30.8,65300.0,5430.0,660.0,1.24,2010.0,99.5,30.900000000000002,1328.0,13820.0,8.6,207.10000000000002,97.0,60.400000000000006,21.8,39.0,20.400000000000002,
112,GR1-036,11.100000000000001,317.0,27300.0,19.6,87000.0,6390.0,1010.0,1.24,3460.0,35.300000000000004,30.6,692.0,14400.0,2.4000000000000004,250.0,162.5,42.900000000000006,30.3,43.0,26.3,
113,GR1-038,5.6000000000000005,545.0,17500.0,13.700000000000001,32500.0,12850.0,790.0,4.8500000000000005,870.0,19.200000000000003,51.800000000000004,484.0,4600.0,2.4000000000000004,81.5,73.0,19.700000000000003,23.1,38.0,19.400000000000002,
114,GR1-049,27.700000000000003,255.0,17500.0,40.2,52000.0,3210.0,3990.0,1.24,1680.0,89.10000000000001,40.7,460.0,8080.0,8.9,157.8,159.20000000000002,38.5,21.8,10.0,18.900000000000002,
115,GR1-035,20.6,374.0,31000.0,29.6,51500.0,6060.0,2280.0,1.24,1950.0,68.5,49.7,715.0,7560.0,4.2,153.0,121.9,27.5,42.900000000000006,51.0,17.400000000000002,
120,GR1-003,21.8,456.0,13700.0,17.3,52300.0,7180.0,2530.0,1.24,1600.0,55.2,69.2,665.0,6360.0,5.300000000000001,108.5,160.0,60.400000000000006,24.700000000000003,32.0,21.700000000000003,
121,TE2-034,13.4,538.0,17200.0,14.100000000000001,36200.0,10440.0,940.0,1.24,1370.0,41.1,55.900000000000006,807.0,5130.0,5.1000000000000005,91.10000000000001,179.3,45.800000000000004,25.0,73.0,19.400000000000002,"Not sure 34 or 39. Update: we just sieved TE2-039, so this must be TE2-034"
122,TE2-028,38.400000000000006,205.0,5200.0,15.8,28100.0,5180.0,2080.0,2.56,1000.0,163.0,84.4,204.0,2180.0,24.5,55.300000000000004,273.2,229.60000000000002,20.6,43.0,23.6,
123,GR1-010,17.0,472.0,10900.0,17.1,37400.0,9630.0,600.0,2.16,1080.0,71.3,61.0,409.0,5420.0,5.7,97.4,155.60000000000002,37.300000000000004,23.200000000000003,40.0,21.8,
124,TE2-037,17.0,376.0,37600.0,20.700000000000003,61500.0,4820.0,1200.0,1.24,3480.0,42.900000000000006,27.1,1206.0,11810.0,8.200000000000001,199.10000000000002,131.9,69.8,48.6,94.0,19.0,
125,TE2-047,62.1,251.0,11100.0,31.3,36200.0,4330.0,290.0,1.24,830.0,208.4,28.1,383.0,8720.0,11.600000000000001,148.3,88.9,45.0,24.700000000000003,32.0,16.2,
126,GR1-004,14.600000000000001,365.0,18100.0,10.4,64000.0,6230.0,830.0,3.92,3180.0,28.3,40.1,606.0,7470.0,7.5,132.4,139.9,38.2,38.900000000000006,43.0,22.700000000000003,
128,GR1-011,7.300000000000001,447.0,6100.0,9.4,42100.0,9720.0,280.0,1.24,1130.0,33.5,49.1,223.0,5120.0,2.4000000000000004,81.5,51.7,19.5,5.2,31.0,19.6,
129,GR1-041,37.800000000000004,414.0,20700.0,31.200000000000003,60100.0,6040.0,660.0,1.24,2050.0,175.4,32.6,1427.0,15740.0,6.4,220.60000000000002,140.3,76.3,25.200000000000003,31.0,16.7,
130,GR1-046,17.0,554.0,21400.0,13.9,81400.0,9930.0,1590.0,1.24,2720.0,29.400000000000002,39.0,983.0,14590.0,5.7,264.2,191.9,91.9,35.2,52.0,24.8,
131,GR1-045,15.8,373.0,27800.0,25.5,86100.0,5710.0,1890.0,1.24,3100.0,35.0,34.300000000000004,998.0,10910.0,6.7,218.20000000000002,148.3,79.10000000000001,53.800000000000004,107.0,16.400000000000002,
132,TE2-038,25.3,555.0,33400.0,20.900000000000002,68500.0,5370.0,830.0,1.24,3770.0,90.0,49.400000000000006,1072.0,13080.0,6.300000000000001,253.10000000000002,165.0,44.800000000000004,31.5,40.0,20.200000000000003,
133,GR1-032,12.200000000000001,406.0,14100.0,18.900000000000002,57500.0,8030.0,660.0,1.24,980.0,63.7,44.2,609.0,6640.0,6.9,165.70000000000002,152.5,44.7,71.3,63.0,18.1,
134,GR1-026,22.3,291.0,4600.0,9.8,28100.0,4100.0,170.0,8.08,520.0,80.10000000000001,30.700000000000003,264.0,4630.0,7.4,45.800000000000004,37.1,36.4,16.1,26.0,20.5,
135,GR1-039,11.100000000000001,438.0,20000.0,19.0,44700.0,7030.0,1080.0,1.24,2020.0,35.800000000000004,42.1,648.0,5420.0,6.0,103.80000000000001,124.80000000000001,25.700000000000003,24.0,21.0,20.200000000000003,
136,GR1-043,39.6,569.0,17600.0,32.300000000000004,37500.0,5100.0,630.0,1.24,1370.0,166.9,28.0,1819.0,16040.0,12.700000000000001,211.8,97.4,126.7,36.300000000000004,46.0,21.700000000000003,
138,GR1-047,14.600000000000001,522.0,40300.0,24.1,90100.0,3900.0,2240.0,1.24,2150.0,42.2,22.0,1403.0,16350.0,6.300000000000001,310.3,224.60000000000002,103.2,55.0,76.0,24.200000000000003,
139,GR1-037,33.6,539.0,13100.0,19.5,39600.0,9960.0,940.0,1.24,1340.0,56.1,59.300000000000004,465.0,5160.0,2.4000000000000004,94.2,125.60000000000001,25.0,17.5,30.0,20.200000000000003,
140,TE2-039,14.600000000000001,382.0,14900.0,12.700000000000001,64900.0,8320.0,730.0,1.24,690.0,44.800000000000004,30.700000000000003,695.0,14990.0,6.0,194.3,76.7,91.4,22.3,10.0,16.0,
141,GR1-048,17.0,443.0,8700.0,19.700000000000003,54200.0,10280.0,320.0,4.96,820.0,84.30000000000001,39.7,326.0,8030.0,2.4000000000000004,146.70000000000002,78.2,31.6,18.1,43.0,21.5,
146,TE2-027,41.900000000000006,347.0,11800.0,23.0,43200.0,8980.0,1180.0,1.24,820.0,84.30000000000001,69.5,405.0,5390.0,6.7,91.10000000000001,171.8,58.1,26.200000000000003,10.0,17.7,
