,index,Unnamed: 0,sample_id,date,group,sample_type,qaqc_type,Au,As,Sb,Ag,Ba,Bi,Ca,Cd,Cl,Co,Cr,Cu,Fe,Hg,K,Mn,Mo,Ni,P,Pb,Rb,S,Se,Sn,Sr,Ti,U,V,Zn,Zr,Nb,Pd,Pt,Rh,Y,La,Ce,Pr,Nd,Sm,comments
21,21,21,TE2-W02,2021-10-06,group 2,sediment,sample,2.1,5.832581180195939,<1.7869220549759781,<9.758418805395854,546.6913771894217,<4.26929417764139,17340.714196422417,<nan,277.0,<30.441780568272534,<61.11209177967383,11.048095040705588,31316.902328052667,-12.8,14101.086775744332,1351.6222802226455,8.49556971105212,107.43493974799301,1300.7183169525106,17.184703607908563,50.86324290546409,<1888.1967632959377,<nan,<5.342780803987754,499.57090188966913,4112.953357637676,10.08471691906628,70.41644454038871,55.53149729536251,9707.65225514301,62.669287412941124,3.1,11.7,0.9,32.74907339031803,50.44290928632705,83.39726027397259,-1.5449075640025396,25.883262641364816,-6.897205867644608,
22,22,22,GR1-015,2021-10-06,group 2,soil,sample,3.8,15.8111317625269,2.9159139418710267,<9.758418805395854,522.0474943033436,<4.26929417764139,21255.91546448258,<nan,1803.0,<30.441780568272534,<61.11209177967383,10.940120160799188,62637.65869520805,-17.7,12475.95914404329,1738.4871908684768,3.396029648885101,192.93298189217677,1540.8035170137,38.220427854322,88.63391851620584,2133.7313438787633,<nan,<5.342780803987754,1220.4447043781745,9406.852763162467,9.472786771327184,168.92174316435404,186.84550344794133,4881.2774999652775,98.63533571668674,2.5,17.9,1.2,38.17263969993151,57.51179673813367,88.05479452054794,4.428632710470587,22.936795798897457,13.626582763793966,
23,24,24,oreas45d,2021-10-07,group 1,standard,standard,4.6,15.0,<1.7869220549759781,49.0,173.0,28.1,2046.0,<nan,,<30.441780568272534,<61.11209177967383,339.0,<3728.128329156112,-0.6,7662.0,555.0,2.7,-80.0,<644.9313652728606,22.7,41.1,3073.0,<nan,<5.342780803987754,29.2,12505.0,<4.808030478491732,192.0,44.2,<1868.0650950673244,28.5,0.9,15.2,0.9,28.6,<20.559599300125416,20.0,25.0,59.0,-28.0,
24,25,25,oreas504b,2021-10-07,group 1,standard,standard,6.2,16.0,<1.7869220549759781,42.0,690.0,20.3,35326.0,<nan,2946.0,31.4,120.0,<5.988465004863517,88049.0,3.9,<2772.1587834927814,628.0,<2.4797694423678664,-73.0,4151.0,26.5,101.6,<1888.1967632959377,<nan,12.0,410.0,4607.0,<4.808030478491732,141.0,195.0,<1868.0650950673244,12.7,1.6,-2.1,0.8,26.5,22.0,-14.0,<-5.108256281669303,82.0,42.0,
25,26,26,TE2-020F,2021-10-07,group 1,soil,field duplicate,0.4,3.6943203411250196,<1.7869220549759781,<9.758418805395854,522.0474943033436,<4.26929417764139,14918.34364572551,<nan,627.0,<30.441780568272534,<61.11209177967383,29.619774384606536,30821.10386696098,-6.7,14691.932435150879,1038.9231814622842,<2.4797694423678664,15.603709296832662,976.6137992846054,31.900277520197783,61.92536689700059,<1888.1967632959377,<nan,<5.342780803987754,427.8048621174108,3211.9614069781646,7.759382357657719,79.949215374966,101.14760160379346,<1868.0650950673244,24.219097634762612,2.8,8.5,1.0,25.997286759982902,31.255929059994806,97.36986301369863,1.549818120363056,18.938019369834613,-16.84813368894816,
26,27,27,GR1-007,2021-10-07,group 1,soil,sample,3.8,22.938667892763302,6.687914963669392,<9.758418805395854,289.53781663904107,<4.26929417764139,21387.765086232033,<nan,2184.0,63.953483176638755,<61.11209177967383,21.629633271532875,75393.0470901197,-14.2,6998.85612954454,1080.0150502096394,4.644896602885187,335.4297187991497,2092.600385395804,127.26851614407214,43.887128676567194,<1888.1967632959377,<nan,<5.342780803987754,646.3163862001078,10551.005824025347,7.392224269014264,222.94077789362538,269.02157370945304,3801.4036962953724,90.1028497827651,6.1,17.6,1.7,40.82908034137483,53.47243247995846,75.17808219178082,0.6861737433307967,23.568181550854753,1.8098559759959993,
27,28,28,TE2-011,2021-10-07,group 1,soil,sample,2.1,20.562822516017835,<1.7869220549759781,<9.758418805395854,435.2581676175901,<4.26929417764139,8508.25453500624,<nan,1147.0,<30.441780568272534,<61.11209177967383,15.04316559724242,43025.699090932896,-5.8,10391.68764613675,505.7311284478226,13.38696528088579,161.2670403572939,862.9776722215228,50.48340611456302,62.324001995794696,<1888.1967632959377,<nan,<5.342780803987754,259.6366793674919,4689.98458153721,4.822117648510067,83.12680565315841,79.42964017753681,6952.872143740195,35.55974349630403,3.2,12.9,2.0,17.142484621838467,29.2362469309072,79.83561643835615,1.1179959318469264,16.41247636200545,-3.7875409234872492,
28,29,29,TE2-003,2021-10-07,group 1,soil,sample,0.7,12.2473636974087,<1.7869220549759781,<9.758418805395854,483.4744602207865,<4.26929417764139,11655.79800532514,<nan,1143.0,<30.441780568272534,<61.11209177967383,22.169507671064878,43645.870203527105,-6.0,10063.037299800182,1226.34219257827,3.9163908797184708,85.268780673575,983.3353446931427,36.050824008279356,55.84618164039044,<1888.1967632959377,<nan,<5.342780803987754,434.2316716492548,4873.689370123456,8.493698534944635,105.36993760050544,120.60152844121255,2280.7650748010183,36.423792704802416,3.4,10.2,0.6,27.768247187611788,30.246087995451003,76.82191780821917,0.5422330138254202,16.833400196643645,-6.897205867644608,
29,30,30,GR1-014,2021-10-07,group 1,soil,sample,4.05,24.126590581136035,4.53248580835604,,463.652206595028,,24566.439717241778,,1653.5,,,13.963416798178411,55962.14699211353,-17.8,10903.995538955518,792.3719689781536,,188.18309066194433,1758.8336462031266,63.02937618080959,91.47419359511387,,,,1796.1797249392023,10220.565882730172,16.142825381683313,142.70662336926648,143.66113999418775,3944.6522620883193,107.00581242401492,3.4000000000000004,18.4,0.75,38.1726396999315,63.57084312539647,67.36986301369862,-1.0051298283573777,25.146645930747976,3.0537219536589433,
30,32,32,oreas904,2021-10-13,group 1,standard,standard,3.2,<2.6244869705522516,6.0,<9.758418805395854,176.0,28.5,<1432.6020872593424,<nan,2194.0,32.4,104.0,<5.988465004863517,77948.0,-0.8,<2772.1587834927814,476.0,3.1,-65.0,2462.0,8.2,136.5,2507.0,<nan,<5.342780803987754,26.9,3754.0,8.6,86.0,66.0,<1868.0650950673244,20.5,0.9,2.3,-0.1,49.7,25.0,60.0,<-5.108256281669303,30.0,34.0,
31,33,33,oreas25a,2021-10-13,group 1,standard,standard,2.8,8.9,4.0,10.0,128.0,23.5,3005.0,<nan,2201.0,<30.441780568272534,130.0,34.1,76279.0,-3.3,6269.0,555.0,4.5,-49.0,<644.9313652728606,24.3,61.0,1930.0,<nan,<5.342780803987754,47.6,13440.0,<4.808030478491732,148.0,37.5,<1868.0650950673244,33.3,0.5,17.6,-0.0,36.6,25.0,53.0,<-5.108256281669303,10.0,20.0,
32,34,34,oreas902,2021-10-13,group 1,standard,standard,,<2.6244869705522516,3.0,21.0,153.0,25.4,49377.0,<nan,716.0,33.9,71.0,<5.988465004863517,28104.0,-1.4,<2772.1587834927814,462.0,13.2,107.0,1696.0,11.5,105.6,<1888.1967632959377,<nan,<5.342780803987754,28.2,2330.0,7.6,57.0,<34.1266135646,<1868.0650950673244,13.4,0.0,3.6,-0.5,28.5,31.0,57.0,<-5.108256281669303,24.0,14.0,
